"date","close","volume","open","high","low"
"14:21","124.4025","3,581,681","124.47","124.51","124.07"
"2019/03/25","124.9200","7275430.0000","124.5600","125.1100","124.4801"
"2019/03/22","123.9700","5873222.0000","123.9300","124.2200","123.7300"
"2019/03/21","123.6800","7723933.0000","124.3600","124.3700","123.1100"
"2019/03/20","124.1800","11301420.0000","123.6600","124.4200","122.6500"
"2019/03/19","123.3800","6557214.0000","123.7200","123.7900","123.3400"
"2019/03/18","123.0400","7722920.0000","123.3000","123.3998","122.8900"
"2019/03/15","122.9700","9392611.0000","123.0600","123.4000","122.9132"
"2019/03/14","122.4100","6778213.0000","122.3300","122.5450","122.1200"
"2019/03/13","123.8400","7376671.0000","123.5600","123.8800","123.4250"
"2019/03/12","122.9800","6288638.0000","122.5400","123.0300","122.4000"
"2019/03/11","122.2400","6708070.0000","122.5200","122.5400","121.9200"
"2019/03/08","122.8400","10424600.0000","122.7000","122.8900","122.3700"
"2019/03/07","121.5100","6086878.0000","121.2700","121.7100","121.1800"
"2019/03/06","121.6100","4815723.0000","121.4300","121.6400","121.2600"
"2019/03/05","121.7200","7118349.0000","121.3800","121.7300","121.0300"
"2019/03/04","121.5600","10270310.0000","121.5600","121.8500","121.1800"
"2019/03/01","121.8800","16381900.0000","123.4800","123.9600","121.8700"
"2019/02/28","123.9900","7809645.0000","124.7100","124.7100","123.9800"
"2019/02/27","124.6900","7926386.0000","125.1700","125.2260","124.4000"
"2019/02/26","125.5800","5153225.0000","125.3300","125.6171","125.0500"
"2019/02/25","125.3700","4882180.0000","125.7800","125.9000","125.2300"
"2019/02/22","125.5000","5435164.0000","125.5300","125.9500","125.3900"
"2019/02/21","125.0500","8616809.0000","126.1500","126.2200","125.0500"
"2019/02/20","126.4800","8885134.0000","127.0000","127.2100","126.3100"
"2019/02/19","126.7000","15566400.0000","125.9800","126.7900","125.9300"
"2019/02/15","124.8000","12189790.0000","124.5900","125.0000","124.1800"
"2019/02/14","124.0600","6273848.0000","123.8400","124.2000","123.5300"
"2019/02/13","123.3700","7621704.0000","123.8400","124.5500","123.3100"
"2019/02/12","123.8600","4270435.0000","123.9600","124.0300","123.6100"
"2019/02/11","123.6000","4821212.0000","123.1900","123.8200","123.1900"
"2019/02/08","124.2100","4232725.0000","124.0500","124.3300","123.9799"
"2019/02/07","123.7400","5934937.0000","123.8000","123.9500","123.4367"
"2019/02/06","123.4400","6594416.0000","124.1600","124.1899","123.4000"
"2019/02/05","124.2800","6291051.0000","124.2900","124.4200","124.0500"
